Date,Predicted_Appointments
2024-01-01,57.072045762456725
2024-01-02,57.06764867739492
2024-01-03,57.06325159233312
2024-01-04,57.05885450727131
2024-01-05,57.0544574222095
2024-01-06,57.0500603371477
2024-01-07,57.045663252085895
2024-01-08,57.04126616702409
2024-01-09,57.03686908196228
2024-01-10,57.032471996900476
2024-01-11,57.02807491183867
2024-01-12,57.02367782677687
2024-01-13,57.019280741715065
2024-01-14,57.014883656653254
2024-01-15,57.01048657159145
2024-01-16,57.006089486529646
2024-01-17,57.00169240146784
2024-01-18,56.99729531640603
2024-01-19,56.99289823134423
2024-01-20,56.988501146282424
2024-01-21,56.98410406122062
2024-01-22,56.97970697615881
2024-01-23,56.975309891097005
2024-01-24,56.9709128060352
2024-01-25,56.9665157209734
2024-01-26,56.962118635911594
2024-01-27,56.95772155084978
2024-01-28,56.95332446578798
2024-01-29,56.948927380726175
2024-01-30,56.94453029566437
