Date,Time_ID,Day,Month,Weekday
2023-12-31,1,31,12,Sunday
2023-12-29,2,29,12,Friday
2023-12-30,3,30,12,Saturday
2023-12-28,4,28,12,Thursday
2023-12-27,5,27,12,Wednesday
2023-12-26,6,26,12,Tuesday
2023-12-25,7,25,12,Monday
2023-12-24,8,24,12,Sunday
2023-12-23,9,23,12,Saturday
2023-12-22,10,22,12,Friday
2023-12-21,11,21,12,Thursday
2023-12-20,12,20,12,Wednesday
2023-12-19,13,19,12,Tuesday
2023-12-18,14,18,12,Monday
2023-12-17,15,17,12,Sunday
2023-12-16,16,16,12,Saturday
2023-12-15,17,15,12,Friday
2023-12-14,18,14,12,Thursday
2023-12-13,19,13,12,Wednesday
2023-12-12,20,12,12,Tuesday
2023-12-11,21,11,12,Monday
2023-12-10,22,10,12,Sunday
2023-12-08,23,8,12,Friday
2023-12-09,24,9,12,Saturday
2023-12-07,25,7,12,Thursday
2023-12-06,26,6,12,Wednesday
2023-12-05,27,5,12,Tuesday
2023-12-04,28,4,12,Monday
2023-12-03,29,3,12,Sunday
2023-12-02,30,2,12,Saturday
2023-12-01,31,1,12,Friday
2023-11-30,32,30,11,Thursday
2023-11-29,33,29,11,Wednesday
2023-11-27,34,27,11,Monday
2023-11-28,35,28,11,Tuesday
2023-11-26,36,26,11,Sunday
2023-11-25,37,25,11,Saturday
2023-11-24,38,24,11,Friday
2023-11-23,39,23,11,Thursday
2023-11-22,40,22,11,Wednesday
2023-11-21,41,21,11,Tuesday
2023-11-20,42,20,11,Monday
2023-11-19,43,19,11,Sunday
2023-11-18,44,18,11,Saturday
2023-11-17,45,17,11,Friday
2023-11-16,46,16,11,Thursday
2023-11-15,47,15,11,Wednesday
2023-11-14,48,14,11,Tuesday
2023-11-13,49,13,11,Monday
2023-11-11,50,11,11,Saturday
2023-11-12,51,12,11,Sunday
2023-11-10,52,10,11,Friday
2023-11-09,53,9,11,Thursday
2023-11-08,54,8,11,Wednesday
2023-11-07,55,7,11,Tuesday
2023-11-05,56,5,11,Sunday
2023-11-06,57,6,11,Monday
2023-11-04,58,4,11,Saturday
2023-11-03,59,3,11,Friday
2023-11-02,60,2,11,Thursday
2023-11-01,61,1,11,Wednesday
2023-10-31,62,31,10,Tuesday
2023-10-30,63,30,10,Monday
2023-10-29,64,29,10,Sunday
2023-10-28,65,28,10,Saturday
2023-10-27,66,27,10,Friday
2023-10-26,67,26,10,Thursday
2023-10-25,68,25,10,Wednesday
2023-10-24,69,24,10,Tuesday
2023-10-23,70,23,10,Monday
2023-10-22,71,22,10,Sunday
2023-10-21,72,21,10,Saturday
2023-10-20,73,20,10,Friday
2023-10-19,74,19,10,Thursday
2023-10-18,75,18,10,Wednesday
2023-10-17,76,17,10,Tuesday
2023-10-16,77,16,10,Monday
2023-10-15,78,15,10,Sunday
2023-10-14,79,14,10,Saturday
2023-10-13,80,13,10,Friday
2023-10-12,81,12,10,Thursday
2023-10-11,82,11,10,Wednesday
2023-10-09,83,9,10,Monday
2023-10-10,84,10,10,Tuesday
2023-10-08,85,8,10,Sunday
2023-10-07,86,7,10,Saturday
2023-10-06,87,6,10,Friday
2023-10-05,88,5,10,Thursday
2023-10-04,89,4,10,Wednesday
2023-10-03,90,3,10,Tuesday
2023-10-02,91,2,10,Monday
2023-10-01,92,1,10,Sunday
2023-09-30,93,30,9,Saturday
2023-09-29,94,29,9,Friday
2023-09-28,95,28,9,Thursday
2023-09-27,96,27,9,Wednesday
2023-09-26,97,26,9,Tuesday
2023-09-25,98,25,9,Monday
2023-09-23,99,23,9,Saturday
2023-09-24,100,24,9,Sunday
2023-09-22,101,22,9,Friday
2023-09-21,102,21,9,Thursday
2023-09-20,103,20,9,Wednesday
2023-09-19,104,19,9,Tuesday
2023-09-17,105,17,9,Sunday
2023-09-18,106,18,9,Monday
2023-09-16,107,16,9,Saturday
2023-09-15,108,15,9,Friday
2023-09-14,109,14,9,Thursday
2023-09-13,110,13,9,Wednesday
2023-09-12,111,12,9,Tuesday
2023-09-11,112,11,9,Monday
2023-09-10,113,10,9,Sunday
2023-09-09,114,9,9,Saturday
2023-09-08,115,8,9,Friday
2023-09-07,116,7,9,Thursday
2023-09-06,117,6,9,Wednesday
2023-09-05,118,5,9,Tuesday
2023-09-04,119,4,9,Monday
2023-09-03,120,3,9,Sunday
2023-09-01,121,1,9,Friday
2023-09-02,122,2,9,Saturday
2023-08-31,123,31,8,Thursday
2023-08-30,124,30,8,Wednesday
2023-08-29,125,29,8,Tuesday
2023-08-28,126,28,8,Monday
2023-08-27,127,27,8,Sunday
2023-08-25,128,25,8,Friday
2023-08-26,129,26,8,Saturday
2023-08-24,130,24,8,Thursday
2023-08-23,131,23,8,Wednesday
2023-08-22,132,22,8,Tuesday
2023-08-21,133,21,8,Monday
