Doctor_ID,Idle_Time_No_Overbooking,Idle_Time_With_Overbooking,Waiting_Time_Impact
1.0,0.576572043664463,0.513401881657451,0.0
2.0,0.5638595044426458,0.5085979592163262,0.0
3.0,0.5894399483950568,0.5379623831674915,0.0
4.0,0.5708210931719933,0.5214532546431959,0.0
5.0,0.5557330389211848,0.5007681610223799,0.0
6.0,0.5782317294123012,0.5264568610627575,0.0
7.0,0.5574376329454497,0.49859885917499047,0.0
8.0,0.5784866583125372,0.5239485129144626,0.0
9.0,0.5797478621746338,0.5271232779599971,0.0
10.0,0.5829455480908267,0.5333087102373222,0.0
11.0,0.5801791408216859,0.5276435677542619,0.0
12.0,0.578024719819742,0.5240075623571557,0.0
13.0,0.5803399249456627,0.5289412610654977,0.0
14.0,0.5756369881011588,0.5211422477951556,0.0
15.0,0.5667264076005157,0.5160281433618789,0.0
16.0,0.5680920195923382,0.5149870001020247,0.0
17.0,0.5863960772019736,0.5305695580498064,0.0
18.0,0.5836709999958799,0.5297575946202756,0.0
19.0,0.5905894311524211,0.5321427655386994,0.0
20.0,0.5804238372816674,0.5295044901854773,0.0
21.0,0.5894793267141801,0.5225229423706429,0.0
22.0,0.6025505049923451,0.5466739584837251,0.0
23.0,0.5810710373551169,0.5261386674230709,0.0
24.0,0.582923351702363,0.5202630618079102,0.0
25.0,0.5724003469643215,0.5115311912909062,0.0
26.0,0.5669359530109206,0.5129786190238921,0.0
27.0,0.5599014549031323,0.5082133670410662,0.0
28.0,0.5873467901841914,0.5359692633941295,0.0
29.0,0.559446669833775,0.5071421196944861,0.0
30.0,0.581523909202261,0.5332846687112263,0.0
31.0,0.5831211784710718,0.5319653367449536,0.0
32.0,0.5755020476740298,0.5114396154421912,0.0
33.0,0.5687792068349875,0.5136887707555635,0.0
34.0,0.5935701100836455,0.5276260254539439,0.0
35.0,0.5700178085476064,0.5200708780038825,0.0
36.0,0.5891605721821513,0.5414884209638046,0.0
37.0,0.576411180031911,0.5246224893348618,0.0
38.0,0.5830937229490277,0.5302364739340605,0.0
39.0,0.5700350429015453,0.5170357208881388,0.0
40.0,0.574882543076866,0.5216039578119209,0.0
41.0,0.578228146147514,0.5258601774811441,0.0
42.0,0.5749453823026904,0.5302090288880114,0.0
43.0,0.5831595789236795,0.5261566034808545,0.0
44.0,0.5909105474116292,0.5404467217801899,0.0
45.0,0.5963895373817041,0.5445282672491574,0.0
46.0,0.5588695010123406,0.5073940855860644,0.0
47.0,0.5851156932419876,0.5304395528021556,0.0
48.0,0.5749703941383268,0.5131584261723261,0.0
49.0,0.5803556691864887,0.5174224045764687,0.0
